,NoOfWordsInPlayerLine,Player
672,78,CURAN
673,77,of young Princes
674,77,LUCE
675,77,FRANCISCA
676,77,ADRIAN
677,76,Fourth Messenger
678,75,DUKE OF SURREY
679,75,Gaoler
680,74,GUILDFORD
681,74,LORD BERKELEY
682,74,First Huntsman
683,74,LYCHORIDA
684,73,CAITHNESS
685,73,BONA
686,71,MENTEITH
687,71,Lion
688,70,CLITUS
689,70,Ghost of LADY ANNE
690,69,Spirit
691,68,LANCASTER
692,68,RAMBURES
693,68,Priest
694,67,BLUNT
695,67,SILIUS
696,66,DORCAS
697,66,First Lady
698,65,REYNALDO
699,65,CAPUCIUS
700,65,Tyrian Sailor
701,65,of King Henry VI
702,63,Second Brother
703,63,TREBONIUS
704,63,First Petitioner
705,63,CICERO
706,62,DOCTOR BUTTS
707,61,BIGOT
708,61,First Brother
709,60,DONALBAIN
710,60,Mother
711,59,STRATO
712,59,SNOUT
713,58,RUGBY
714,58,ERPINGHAM
715,58,of Prince Edward
716,58,CHRISTOPHER
717,57,FROTH
718,56,FASTOLFE
719,56,GOVERNOR
720,56,First Conspirator
721,55,Moonshine
722,54,CATO
723,54,Jeweller
724,54,Wife
725,53,SIR MICHAEL
726,53,Third Senator
727,53,Apothecary
728,53,GALLUS
729,52,Third Messenger
730,51,LINCOLN
731,51,SNUG
732,50,YOUNG SIWARD
733,49,Crier
734,49,Cupid
735,48,First Herald
736,48,Second Herald
737,48,BISHOP OF ELY
738,48,Ghost of HASTINGS
739,47,WILLIAM
740,47,MUTIUS
741,47,Second Stranger
742,47,LEAR
743,47,LUCIANUS
744,46,WILLIAM STAFFORD
745,45,SIR OLIVER MARTEXT
746,44,Lords
747,44,Second Petitioner
748,44,TIMANDRA
749,44,Second Musician
750,43,JUNO
751,43,ANTIPHOLUS
752,42,Third Bandit
753,42,PATIENCE
754,42,Third Murderer
755,42,SU FFOLK
756,41,CURIO
757,40,Unknown
758,39,First Page
759,38,MENECRATES
760,38,Egyptian
761,38,Second Conspirator
762,38,Second Sailor
763,38,First Sentinel
764,38,Master
765,38,WOODVILE
766,38,Girl
767,37,Sentinels
768,37,HELENUS
769,36,Fourth Lord
770,35,FRIAR THOMAS
771,35,WILLIAM PAGE
772,34,First Warder
773,33,Lawyer
774,33,Danes
775,33,Third Apparition
776,33,Second Bandit
777,33,Vintner
778,33,SEYTON
779,32,Attendant
780,32,A Player
781,32,LADY MONTAGUE
782,32,STARVELING
783,31,CLAUDIUS
784,31,Scout
785,31,BOTH
786,30,First Captain
787,29,All Servants
788,29,Second Huntsman
789,29,Tutor
790,29,First Knight
791,28,MERCADE
792,28,Garter
793,28,Townsman
794,28,First Tribune
795,27,Fourth Soldier
796,27,VARRIUS
797,27,MARGARET JOURDAIN
798,26,SELEUCUS
799,26,Children
800,26,Sailor
801,24,MARGARELON
802,24,ABRAHAM
803,24,Commons
804,24,Pursuivant
805,24,ESSEX
806,24,Second Apparition
807,23,DENNY
808,23,KATARINA
809,22,NATHANIEL
810,22,All The People
811,22,Second Lady
812,21,First Executioner
813,21,All Conspirators
814,21,Third Roman
815,21,Guard
816,21,VARRO
817,21,First Neighbour
818,20,Citizen
819,20,MICHAEL
820,20,LOVEL
821,20,Ghost of RIVERS
822,19,Tribunes
823,19,VOLUMNIUS
824,19,Second Warder
825,19,Fourth Gentleman
826,19,First Traveller
827,18,Seventh Citizen
828,18,A Patrician
829,18,Huntsman
830,18,Ghost of VAUGHAN
831,18,GARGRAVE
832,18,Scribe
833,17,Second Capulet
834,17,Young MARCIUS
835,17,Banditti
836,17,CLERK
837,17,DENNIS
838,16,Nobleman
839,16,GHOST
840,16,Daughter
841,16,Senators
842,15,Second Guard
843,15,DARDANIUS
844,15,First Attendant
845,15,FLEANCE
846,15,Third Pirate
847,15,Third Goth
848,15,Third Neighbour
849,15,Both Tribunes
850,14,First Apparition
851,14,LEONARDO
852,14,LORDS
853,14,Shepard
854,14,Fifth Citizen
855,13,Watch
856,13,Travellers
857,13,POPILIUS
858,12,Ghost of GREY
859,12,Beadle
860,12,Sixth Citizen
861,11,First Pirate
862,11,LADY  CAPULET
863,11,KNIGHTS
864,11,ESCANES
865,11,COURT
866,11,Second Gentlemen
867,11,ANOTHER
868,10,DEIPHOBUS
869,10,HERBERT
870,10,Third Knight
871,10,JOHN MORTIMER
872,10,All the Goths
873,10,Justice
874,9,VAUGHAN
875,9,WORCESTER
876,9,Second Knight
877,9,GLANSDALE
878,8,MUSTARDSEED
879,8,HERNIA
880,8,HORTENSIA
881,8,Haberdasher
882,8,Mariners
883,8,ELINOR
884,8,Second murderer
885,8,First Secretary
886,8,Knights
887,8,MYRMIDONS
888,8,Both Citizens
889,8,Both Murderers
890,8,Second Neighbour
891,8,All Citizens
892,8,Musician
893,8,All Ladies
894,8,Legate
895,8,ATTENDANT
896,7,Several Citizens
897,7,Servants
898,7,POMPHEY
899,7,Third Musician
900,6,Second Gaoler
901,6,First Roman
902,6,Outlaws
903,6,First Messenger
904,5,Attendants
905,5,Some Speak
906,5,PEASEBLOSSOM
907,5,All The Lords
908,5,COBWEB
909,5,Second Attendant
910,5,Marshal
911,5,Second Patrician
912,5,Third Guard
913,5,Ostler
914,4,PHRYNIA
915,4,PHILEMON
916,4,Players
917,4,Carrier
918,4,All Lords
919,4,Third Stranger
920,4,Soldiers
921,4,First Commoner
922,4,Second Pirate
923,4,First Murder
924,4,GENTLEMEN
925,4,GURNEY
926,4,A Lord
927,3,ARMADO
928,3,Second Roman
929,3,Some Others
930,3,PHILIP
931,2,NICHOLAS
932,2,JOSEPH
933,2,TAURUS
934,1,Thieves
